lon,lat
523.471366,830.705048
659.283267,352.647158
659.283267,352.647158
659.283267,352.647158
452.849178,629.703435
422.065147,579.000325
96.116586,256.673415
119.657315,247.619288
139.576394,263.916716
175.792901,247.619288
215.631058,229.511035
242.793439,267.538367
114.224839,300.133223
217.441884,345.403856
268.144993,320.052302
251.847565,291.079096
284.442421,307.376524
239.171788,396.106966
302.550675,358.079634
257.280041,423.269346
41.381749,985.937096
41.381749,906.457419
40.034636,851.225778
41.381749,797.341251
37.340409,747.498064
40.034636,688.225084
37.340409,639.729009
37.340409,581.803143
34.646183,527.918615
41.381749,484.810994
40.034636,428.23224
40.034636,368.95926
41.381749,297.562262
40.034636,231.553716
45.423088,188.446094
114.12586,187.098981
162.621935,187.098981
217.853575,185.751868
270.390989,188.446094
305.415932,247.719074
266.34965,269.272885
213.812236,298.909375
172.051727,320.463186
137.026784,339.32277
95.266276,359.529468
68.324012,373.0006
161.274822,385.124618
178.787293,421.496674
131.638332,445.744712
93.919163,467.298522
205.729557,467.298522
223.242028,505.017691
266.34965,484.810994
304.068819,467.298522
353.912006,440.356259
397.019628,416.108222
372.771591,373.0006
349.870667,329.892978
329.663969,288.13247
442.821476,393.207298
479.193532,373.0006
496.706003,406.678429
498.053116,364.917921
180.134406,531.959955
141.068124,556.207992
103.348955,576.41469
58.89422,600.662727
116.820087,627.604991
137.026784,672.059726
97.960502,692.266423
54.852881,713.820234
170.704614,654.547254
203.03533,639.729009
247.490065,554.860879
273.085215,603.356953
298.680366,650.505915
320.234177,692.266423
344.482214,736.721158
367.383138,785.217233
409.143646,856.614231
390.284062,826.977741
448.209929,837.754646
481.887758,817.547949
534.425172,789.258572
578.879907,765.010535
627.375981,738.068271
675.872056,712.473121
731.103696,684.183744
780.946884,655.894367
829.442958,631.64633
875.244806,608.745406
923.740881,583.150256
968.195616,560.249332
1005.914785,534.654181
436.08591,902.416079
457.639721,942.829474
107.390294,989.978436
178.787293,989.978436
247.490065,989.978436
304.068819,988.631322
352.564893,988.631322
409.143646,968.424625
510.177135,911.845871
555.978983,883.556495
595.045265,863.349797
642.194226,836.407533
689.343188,810.812383
736.492149,782.523006
779.599771,762.316308
833.484298,739.415384
883.327485,709.778895
934.517786,681.489518
988.402313,654.547254
1034.204161,628.952104
1110.989612,587.191595
1086.741575,541.389747
1062.493538,505.017691
1073.270443,606.05118
1044.981067,471.339862
1020.73303,426.885127
997.832105,385.124618
976.278295,340.669884
952.030257,301.603601
926.435107,250.413301
895.451504,191.140321
848.302543,185.751868
798.459355,187.098981
748.616167,187.098981
687.996074,187.098981
640.847113,188.446094
589.656812,188.446094
535.772285,191.140321
477.846419,188.446094
423.961891,188.446094
359.300459,188.446094
313.498611,188.446094
793.070902,207.305679
815.971826,249.066187
841.566977,293.520922
807.889147,312.380507
766.128639,336.628544
749.963281,306.992054
727.062357,354.141015
692.037414,373.0006
663.748037,389.165958
269.955819,448.620901
288.064072,439.566774
280.820771,410.593569
322.469754,392.485315
333.334706,416.026045
329.713055,403.350267
416.632671,300.133223
445.605877,354.457983
481.822383,262.105891
452.849178,211.402781
393.091942,211.402781
349.632134,234.943511
297.118199,283.835795
407.292966,213.341197
411.239525,210.898089
413.870564,199.246344
421.575751,214.280853
412.555045,215.032579
408.044692,216.53603
401.655025,222.361902
516.228065,218.646083
492.687336,229.511035
481.822383,216.835257
508.984764,196.916179
547.012096,234.943511
528.903842,240.375987
539.768794,262.105891
550.633746,256.673415
559.687873,300.133223
568.742,294.700747
570.552825,323.673952
507.173938,359.890459
528.903842,394.296141
592.282729,361.701285
604.958507,354.457983
583.228603,316.430651
565.120349,272.970843
599.526031,256.673415
624.877585,254.862589
599.526031,211.402781
626.688411,200.537829
537.957969,387.052839
565.120349,439.566774
639.364188,218.646083
642.985839,240.375987
655.661616,238.565161
646.607489,215.024432
708.175551,195.105353
744.392058,196.916179
764.311137,227.700209
597.715205,430.512647
674.678741,275.896661
704.559434,331.231278
720.3298,360.281952
660.29174,284.750199
640.924624,291.390354
637.327874,286.133565
644.244701,267.596468
655.588298,270.916545
659.738394,254.039487
624.877585,392.485315
635.742537,388.863665
646.607489,399.728617
617.634284,414.215219
865.717356,272.970843
874.771482,285.64662
929.096243,260.295066
901.933862,338.160555
862.095705,287.457446
856.663229,301.944048
874.771482,332.728079
845.798277,345.403856
834.933325,327.295603
827.690023,305.565699
938.150369,325.484778
949.015321,343.593031
947.204496,358.079634
795.095167,325.484778
809.58177,350.836333
796.905993,359.890459
805.960119,387.052839
822.257547,379.809538
813.203421,365.322935
840.365801,412.404394
856.663229,405.161093
900.123037,383.431189
425.686798,466.729154
365.929562,499.32401
327.90223,517.432264
327.90223,497.513185
351.442959,484.837408
445.605877,502.945661
519.849716,464.918329
552.444572,448.620901
394.902767,533.729692
324.280579,568.135373
967.123575,450.431726
912.798814,481.215757
900.123037,488.459058
880.203958,448.620901
284.442421,481.215757
805.960119,434.134298
795.095167,439.566774
729.905455,602.541055
788.938115,426.836841
792.714191,420.314529
800.266341,421.344368
825.669029,424.090604
824.98247,479.358615
777.60989,449.150013
850.041878,469.746787
868.235696,507.850819
871.668491,516.432808
849.355319,527.761034
824.295911,540.805657
806.788653,507.507539
830.818223,551.447324
835.967416,558.656195
858.967147,546.984689
853.474674,539.775819
882.653437,535.999743
877.160964,528.790872
907.369566,584.402162
774.177094,526.044636
790.997793,558.656195
770.401019,572.044098
764.908545,569.984421
754.953438,572.387378
738.819298,543.895173
746.371449,462.881195
797.863384,573.417216
776.92333,583.372324
785.848599,599.506463
787.221717,579.939528
528.903842,618.838483
633.086284,410.271859
617.646388,414.790853
652.292007,449.059889
644.007185,461.110539
655.681252,457.721293
685.431294,441.904815
682.042049,433.996576
683.171797,429.854166
695.59903,425.711755
701.624355,385.417394
705.766766,383.911063
722.33641,413.661105
726.102238,421.945927
701.624355,434.749742
696.728779,442.281398
681.013171,497.513185
715.418852,483.026582
563.309524,789.056065
508.984764,444.99925
545.322853,507.905795
572.482927,494.087511
547.705316,479.792735
567.241509,496.946466
570.100465,502.664377
577.247853,499.328929
561.523599,500.281914
563.429569,505.999825
556.758674,503.140869
559.141136,507.905795
547.705316,515.053183
572.95942,526.965496
597.737032,537.924824
564.859047,549.837138
612.031808,451.203183
620.132181,472.168855
665.875464,501.711392
657.298599,504.570347
654.916136,499.328929
626.326584,486.940123
632.997479,493.134526
643.480315,514.100198
604.407927,535.542362
609.172853,531.730421
630.615017,542.68975
624.897106,556.984526
647.292255,520.771093
657.775091,546.025197
657.298599,556.031541
670.163897,562.702436
656.822106,569.849824
645.862778,579.379675
637.762405,572.708779
626.803076,561.749451
615.843748,582.715123
693.035539,554.125571
709.712777,556.984526
721.625091,551.743108
726.866509,562.702436
722.101583,564.131914
727.819494,587.003555
820.735538,616.546093
809.299717,623.693481
814.064643,635.129302
794.051956,650.377063
783.092628,626.552436
753.550091,667.530794
764.032926,663.242361
737.349344,636.558779
750.214643,631.317361
746.879195,623.216988
727.343001,617.97557
738.30233,612.25766
732.107927,599.392361
720.672106,605.110272
584.871733,610.828182
588.683674,619.405048
582.965763,630.840869
599.643002,622.740496
594.878076,634.176316
601.072479,645.135645
658.728076,605.110272
670.163897,634.652809
679.217255,649.90057
678.26427,667.530794
693.988524,669.436764
705.900837,692.784898
681.123225,708.985644
666.351957,692.784898
665.398972,677.060645
649.674718,681.349077
637.285912,657.524451
641.097852,645.135645
631.568002,649.90057
516.256808,576.997212
736.872852,581.762138
627.756061,694.214376
622.514644,703.267734
621.085166,686.114003
607.743375,691.355421
586.301211,660.859898
570.100465,710.891615
580.5833,732.810271
565.812032,739.004674
595.354569,753.29945
546.75233,714.227062
529.122107,685.63751
896.501386,600.730229
910.987989,633.325086
903.744688,636.946736
909.177164,644.190038
876.582308,665.919942
507.173938,642.379212
489.065685,598.919404
469.146606,553.648771
394.902767,651.433339
795.095167,749.217907
807.770945,740.163781
782.41939,720.244702
791.473517,714.812226
833.1225,727.488003
769.743613,761.893685
771.554438,702.136449
738.959582,732.920479
782.41939,698.514798
601.336856,807.164318
489.065685,709.37975
505.363113,738.352955
510.795589,760.082859
467.335781,756.461209
452.849178,729.298829
494.498161,810.785969
425.686798,747.407082
400.335243,758.272034
371.362038,774.569462
447.416702,790.86689
476.389907,785.434414
423.875973,805.353493
380.416164,839.759174
391.281116,866.921554
371.362038,879.597332
394.902767,921.246315
306.172325,924.867965
239.171788,971.949424
193.901154,649.622514
221.063535,703.947274
246.415089,727.488003
184.847028,722.055527
