,lat,long
0,34.02535843560829,-118.29142351828659
1,34.02465896423097,-118.29142351828659
2,34.02417289089173,-118.29143769462718
3,34.02369867300686,-118.29142351828659
4,34.02326002146754,-118.29146604731886
5,34.02273838179155,-118.29143769462718
6,34.02231158568901,-118.29146604731886
7,34.0218018014674,-118.29146604731886
8,34.02132758357373,-118.29149440000002
9,34.02094820927112,-118.29142351828659
10,34.020450280486294,-118.29143769462718
11,34.0199286408103,-118.29143769462718
12,34.01930030211527,-118.29142351828659
13,34.01871938520257,-118.29143769462718
14,34.01834001089116,-118.29138098926485
15,34.01832815544557,-118.29065799580059
16,34.01832815544557,-118.29014764746606
17,34.018316299999995,-118.28956641742863
18,34.01834001089116,-118.28901354007236
19,34.01886165056715,-118.28864495516467
20,34.01905133772286,-118.2890560690941
21,34.019312157560854,-118.28960894645037
22,34.01950184471656,-118.29004841307147
23,34.0196678209723,-118.29041699797916
24,34.01984565268243,-118.29085646458975
25,34.019964207155844,-118.29113999144343
26,34.02007090617488,-118.29016182380664
27,34.020391003249586,-118.28997753135805
28,34.020604401305256,-118.29047370334148
29,34.020794088452156,-118.29087064093032
30,34.020794088452156,-118.28969400450437
31,34.02112604097245,-118.28950971205579
32,34.02094820927112,-118.2890560690941
33,34.020794088452156,-118.28865913150526
34,34.020556979514126,-118.28813460684066
35,34.02034358146726,-118.28768096387897
36,34.019964207155844,-118.28793613804098
37,34.01958483284443,-118.2881771358624
38,34.0192173139874,-118.28838978100266
39,34.02014203886597,-118.28719896823613
40,34.019964207155844,-118.28681620698785
41,34.02026059333058,-118.28663191453927
42,34.01989307447355,-118.2866177381987
43,34.021363149919274,-118.28996335501748
44,34.02157654796615,-118.2903744689469
45,34.021754379676274,-118.29077140653575
46,34.02196777772314,-118.29123922583801
47,34.022204886669975,-118.2906296431089
48,34.02259611642697,-118.29041699797916
49,34.0227739481283,-118.2908281119086
50,34.022963635284,-118.29128175485975
51,34.022441995608006,-118.29006258941206
52,34.02231158568901,-118.28972235719606
53,34.02156469252056,-118.28925453789378
54,34.021991488614304,-118.28898518739119
55,34.022406429271264,-118.2887158368781
56,34.0227739481283,-118.28848901539725
57,34.02316517788529,-118.28823384123524
58,34.02359197398783,-118.28799284341382
59,34.02422031268286,-118.28755337680323
60,34.02395949284486,-118.2877518455924
61,34.02405433641831,-118.28714226286328
62,34.02387650471699,-118.2867878543067
63,34.02362754032457,-118.28623497695042
64,34.0234141422777,-118.28576715764817
65,34.02317703333087,-118.28525680932415
66,34.022951779838415,-118.28474646098962
67,34.022702815446,-118.2841652309522
68,34.02245385105359,-118.28364070627708
69,34.02224045300672,-118.28313035795307
70,34.022038910405435,-118.28264836231023
71,34.02181365691298,-118.2821380139757
72,34.021612114311694,-118.28167019467342
73,34.02138686081044,-118.28127325708458
74,34.02462339788543,-118.28726984994955
75,34.02497906129688,-118.2870430284687
76,34.025394001953835,-118.29072887751401
77,34.025394001953835,-118.28997753135805
78,34.025394001953835,-118.28925453789378
79,34.02538214649945,-118.28865913150526
80,34.02538214649945,-118.28814878318124
81,34.02520431479813,-118.28755337680323
82,34.0247063860133,-118.28649015111243
83,34.024457421629684,-118.28600815546959
84,34.024279589919566,-118.28559704154016
85,34.02404248097273,-118.28510086955673
86,34.02381722748028,-118.28460469756278
87,34.02356826308786,-118.28410852557936
88,34.02339043137774,-118.28365488261767
89,34.02318888877645,-118.28308782892081
90,34.02292806894725,-118.28256330425623
91,34.02267910455484,-118.28202460324053
92,34.022441995608006,-118.28145754954369
93,34.02221674211555,-118.28097555390083
94,34.021849223249724,-118.28016750238257
95,34.021446138047146,-118.28042267654456
96,34.02112604097245,-118.28067785070657
97,34.02201519951427,-118.28056443997141
98,34.0208296547977,-118.28086214315515
99,34.02043842504071,-118.28111731731715
100,34.02007090617488,-118.2813583151491
101,34.019679676426684,-118.28158513661943
102,34.01933586845202,-118.28184031079195
103,34.01888536146711,-118.28210966129454
104,34.01836372179112,-118.28243571716996
105,34.018316299999995,-118.28293188915339
106,34.01832815544557,-118.2834564138285
107,34.01832815544557,-118.2839809385036
108,34.01832815544557,-118.28461887391389
109,34.01834001089116,-118.28511504589731
110,34.01834001089116,-118.285653746913
111,34.01836372179112,-118.28622080060985
112,34.01834001089116,-118.28683038332844
113,34.01834001089116,-118.2873974370358
114,34.01834001089116,-118.28807790146782
115,34.01834001089116,-118.28855989711067
116,34.0185059871557,-118.28351311920134
117,34.01887350601273,-118.28327212137992
118,34.019264735769724,-118.28300277086682
119,34.01943071203427,-118.28335717943392
120,34.01964411008114,-118.28379664604451
121,34.01938329024314,-118.2839667621525
122,34.0197982308913,-118.28420775997392
123,34.019964207155844,-118.28457634488161
124,34.020106472520425,-118.28487404807588
